t_index term df
1211 borneo 4
1212 borotra 1
1213 borrow 2
1214 borzon 1
1215 bosnia 13
1216 bosnian 5
1217 boss 10
1218 boston 17
1219 botch 5
1220 bother 9
1221 bottl 5
1222 bottom 27
1223 bouak 1
1224 boucher 8
1225 bouffard 1
1226 bought 10
1227 boulevard 1
1228 bounc 7
1229 bound 14
1230 boundari 2
1231 bounti 1
1232 bout 5
1233 bow 11
1234 bowel 2
1235 bowen 2
1236 bowl 1
1237 bowman 1
1238 bowmen 1
1239 bowrey 1
1240 box 17
1241 boxer 1
1242 boy 35
1243 boycot 26
1244 boycott 18
1245 boyd 1
1246 boyfriend 4
1247 bozov 3
1248 braca 2
1249 brace 4
1250 braci 1
1251 bracket 1
1252 brad 6
1253 bradi 1
1254 bradman 1
1255 bradshaw 1
1256 brag 4
1257 brain 2
1258 brainwash 3
1259 brake 1
1260 branch 9
1261 brand 6
1262 brandish 6
1263 brandon 1
1264 brash 2
1265 brass 4
1266 brave 6
1267 bravent 1
1268 braveri 2
1269 bravo 4
1270 brazen 1
1271 brazil 2
1272 brazilian 1
1273 breach 3
1274 bread 1
1275 breadbasket 2
1276 break 104
1277 breakaway 2
1278 breakdown 3
1279 breaker 1
1280 breakfast 6
1281 breakout 9
1282 breakthrough 12
1283 breakup 3
1284 breast 4
1285 breath 6
1286 breaux 1
1287 breed 5
1288 breez 6
1289 breme 1
1290 bremer 1
1291 brenton 2
1292 brevant 1
1293 brew 3
1294 brewer 1
1295 brian 15
1296 bribe 40
1297 briberi 10
1298 brick 10
1299 bride 1
1300 bridg 19
1301 bridgett 1
1302 brie 6
1303 brief 63
1304 briefli 24
1305 brig 1
1306 brigad 3
1307 bright 10
1308 brighten 2
1309 brighter 1
1310 brightest 2
1311 brightli 1
1312 brilliant 3
1313 brim 1
1314 bring 126
1315 brink 6
1316 brisk 1
1317 briskli 3
1318 bristl 3
1319 britain 37
1320 british 56
1321 briton 3
1322 broad 11
1323 broadcast 59
1324 broaden 2
1325 broader 9
1326 broadli 3
1327 broder 1
1328 brokaw 1
1329 broke 91
1330 broken 49
1331 broker 7
1332 brokerag 1
1333 bronco 1
1334 bronxvil 1
1335 bronz 2
1336 brood 1
1337 brook 3
1338 brooklyn 1
1339 broom 1
1340 brother 66
1341 brought 116
1342 brow 2
1343 brown 15
1344 broz 1
1345 bruce 1
1346 bruis 7
1347 brunei 22
1348 brunswick 1
1349 brunt 4
1350 brush 5
1351 brussel 6
1352 brutal 16
1353 bryan 4
1354 bryann 1
1355 bryant 1
1356 bu 18
1357 bubbl 1
1358 buccan 1
1359 buchanan 7
1360 buck 9
1361 bucket 4
1362 buckl 13
1363 bud 3
1364 budapest 1
1365 buddhist 1
1366 buddi 1
1367 budget 9
1368 budnev 1
1369 budor 1
1370 budsmen 1
1371 budva 1
1372 bueni 1
1373 buf 4
1374 buff 4
1375 buffalo 3
1376 buffer 1
1377 bug 5
1378 bugss 1
1379 build 169
1380 builder 6
1381 buildup 2
1382 built 27
1383 bulatov 7
1384 bulg 1
1385 bulgaria 3
1386 bulk 4
1387 bulkhead 4
1388 bulki 1
1389 bulldoz 25
1390 bullet 8
1391 bulletin 3
1392 bulletproof 3
1393 bulli 3
1394 bullzdoz 1
1395 bum 1
1396 bump 2
1397 bumper 4
1398 bumpi 1
1399 bunch 5
1400 bundl 1
1401 bungl 6
1402 bunk 4
1403 bunker 7
1404 bunkroom 1
1405 bunt 1
1406 buoy 7
1407 buraika 1
1408 burch 1
1409 burden 7
1410 bureau 33
1411 bureaucraci 4
1412 bureaucrat 7
1413 burglar 7
1414 burglari 8
1415 burgsmul 2
1416 buri 85
1417 burial 13
1418 burk 3
1419 burkhard 1
1420 burkina 8
1421 burkinab 1
1422 burkl 5
1423 burli 4
1424 burn 45
1425 burner 2
1426 burnt 3
1427 burri 1
1428 burst 10
1429 burton 5
1430 buse 19
1431 bush 98
1432 bushnel 1
1433 busi 90
1434 busiest 1
1435 busili 1
1436 businessman 54
1437 businessmen 5
1438 buss 1
1439 bust 7
1440 bustamant 1
1441 bustl 4
1442 butcher 4
1443 butter 1
1444 button 3
1445 buttress 5
1446 buy 44
1447 buyer 2
1448 buzz 6
1449 bye 1
1450 bypass 5
1451 byrd 6
1452 c 4
1453 ca 60
1454 cab 2
1455 cabana 1
1456 cabin 2
1457 cabinet 31
1458 cabl 5
1459 cacak 8
1460 cach 2
1461 cadav 1
1462 cadet 1
1463 caeti 1
1464 cafe 4
1465 cafetalon 1
1466 cafeteria 1
1467 cage 5
1468 cagl 1
1469 cahokia 3
1470 cairo 5
1471 caisson 1
1472 cake 5
1473 cal 2
1474 calam 5
1475 calamit 1
1476 calatrava 2
1477 calcul 9
1478 calculu 1
1479 calcutta 3
1480 calderon 1
1481 calena 1
1482 caley 1
1483 calhoun 1
1484 calib 1
1485 california 32
1486 calina 1
1487 calix 1
1488 call 363
1489 callahan 1
1490 callen 3
1491 caller 5
1492 callou 1
1493 callous 1
1494 calm 38
1495 calmli 1
1496 calvario 6
1497 calvert 1
1498 cambodia 3
1499 camden 1
1500 came 236
1501 camel 3
1502 camera 25
1503 cameraman 3
1504 cameroon 2
1505 camouflag 7
1506 camp 49
1507 campaign 155
1508 campbel 1
1509 campfir 3
1510 campground 1
1511 campu 2
1512 can 2
1513 canada 14
1514 canal 21
1515 canberra 1
1516 cancel 38
1517 cancer 45
1518 candid 135
1519 candidaci 15
1520 candiotti 2
1521 candl 3
1522 candlelight 4
1523 candor 2
1524 cane 2
1525 canist 2
1526 cannaday 3
1527 cannistraro 4
1528 cannon 3
1529 canon 1
1530 canopi 2
1531 canton 1
1532 cantwel 4
1533 canva 3
1534 canvass 3
1535 cap 19
1536 capabl 25
1537 capac 15
1538 cape 2
1539 capit 159
1540 capitalist 2
1541 capitol 28
1542 capitul 1
1543 capp 1
1544 capriati 33
1545 capsul 2
1546 capt 30
1547 captain 27
1548 captiv 6
1549 captor 4
1550 captur 58
1551 car 97
1552 caraca 2
1553 caravan 3
1554 carbon 2
1555 card 21
1556 cardboard 1
1557 cardiopulmonari 1
1558 care 84
1559 career 48
1560 caretak 4
1561 carey 1
1562 cargo 12
1563 caribbean 2
1564 carin 1
1565 cario 1
1566 carjack 2
1567 carl 4
1568 carlo 29
